Row index;Column index;Set index ;;;;;;;
;25;179;269;51;81;64;113;46;49
;37;0;0;0;0;0;0;0;0
16;1;64;13;69;154;270;190;88;78
;3;49;338;140;164;13;293;198;152
;11;49;57;45;43;99;332;160;84
;20;51;289;115;189;54;331;122;5
;22;154;57;300;101;0;114;182;205
;38;0;0;0;0;0;0;0;0
17;0;7;260;257;56;153;110;91;183
;14;164;303;147;110;137;228;184;112
;16;59;81;128;200;0;247;30;106
;17;1;358;51;63;0;116;3;219
;21;144;375;228;4;162;190;155;129
;39;0;0;0;0;0;0;0;0
18;1;42;130;260;199;161;47;1;183
;12;233;163;294;110;151;286;41;215
;13;8;280;291;200;0;246;167;180
;18;155;132;141;143;241;181;68;143
;19;147;4;295;186;144;73;148;14
;40;0;0;0;0;0;0;0;0
19;0;60;145;64;8;0;87;12;179
;1;73;213;181;6;0;110;6;108
;7;72;344;101;103;118;147;166;159
;8;127;242;270;198;144;258;184;138
;10;224;197;41;8;0;204;191;196
;41;0;0;0;0;0;0;0;0
20;0;151;187;301;105;265;89;6;77
;3;186;206;162;210;81;65;12;187
;9;217;264;40;121;90;155;15;203
;11;47;341;130;214;144;244;5;167
;22;160;59;10;183;228;30;30;130
;42;0;0;0;0;0;0;0;0
21;1;249;205;79;192;64;162;6;197
;5;121;102;175;131;46;264;86;122
;16;109;328;132;220;266;346;96;215
;20;131;213;283;50;9;143;42;65
;21;171;97;103;106;18;109;199;216
;43;0;0;0;0;0;0;0;0
22;0;64;30;177;53;72;280;44;25
;12;142;11;20;0;189;157;58;47
;13;188;233;55;3;72;236;130;126
;17;158;22;316;148;257;113;131;178
;44;0;0;0;0;0;0;0;0
23;1;156;24;249;88;180;18;45;185
;2;147;89;50;203;0;6;18;127
;10;170;61;133;168;0;181;132;117
;18;152;27;105;122;165;304;100;199
;45;0;0;0;0;0;0;0;0
24;0;112;298;289;49;236;38;9;32
;3;86;158;280;157;199;170;125;178
;4;236;235;110;64;0;249;191;2
;11;116;339;187;193;266;288;28;156
;22;222;234;281;124;0;194;6;58
;46;0;0;0;0;0;0;0;0
25;1;23;72;172;1;205;279;4;27
;6;136;17;295;166;0;255;74;141
;7;116;383;96;65;0;111;16;11
;14;182;312;46;81;183;54;28;181
;47;0;0;0;0;0;0;0;0
26;0;195;71;270;107;0;325;21;163
;2;243;81;110;176;0;326;142;131
;4;215;76;318;212;0;226;192;169
;15;61;136;67;127;277;99;197;98
;48;0;0;0;0;0;0;0;0
27;1;25;194;210;208;45;91;98;165
;6;104;194;29;141;36;326;140;232
;8;194;101;304;174;72;268;22;9
;49;0;0;0;0;0;0;0;0
28;0;128;222;11;146;275;102;4;32
;4;165;19;293;153;0;1;1;43
;19;181;244;50;217;155;40;40;200
;21;63;274;234;114;62;167;93;205
;50;0;0;0;0;0;0;0;0
29;1;86;252;27;150;0;273;92;232
;14;236;5;308;11;180;104;136;32
;18;84;147;117;53;0;243;106;118
;25;6;78;29;68;42;107;6;103
;51;0;0;0;0;0;0;0;0
30;0;216;159;91;34;0;171;2;170
;10;73;229;23;130;90;16;88;199
;13;120;260;105;210;252;95;112;26
;24;9;90;135;123;173;212;20;105
;52;0;0;0;0;0;0;0;0
31;1;95;100;222;175;144;101;4;73
;7;177;215;308;49;144;297;49;149
;22;172;258;66;177;166;279;125;175
;25;61;256;162;128;19;222;194;108
;53;0;0;0;0;0;0;0;0
32;0;221;102;210;192;0;351;6;103
;12;112;201;22;209;211;265;126;110
;14;199;175;271;58;36;338;63;151
;24;121;287;217;30;162;83;20;211
;54;0;0;0;0;0;0;0;0
33;1;2;323;170;114;0;56;10;199
;2;187;8;20;49;0;304;30;132
;11;41;361;140;161;76;141;6;172
;21;211;105;33;137;18;101;92;65
;55;0;0;0;0;0;0;0;0
34;0;127;230;187;82;197;60;4;161
;7;167;148;296;186;0;320;153;237
;15;164;202;5;68;108;112;197;142
;17;159;312;44;150;0;54;155;180
;56;0;0;0;0;0;0;0;0
35;1;161;320;207;192;199;100;4;231
;6;197;335;158;173;278;210;45;174
;12;207;2;55;26;0;195;168;145
;22;103;266;285;187;205;268;185;100
;57;0;0;0;0;0;0;0;0
36;0;37;210;259;222;216;135;6;11
;14;105;313;179;157;16;15;200;207
;15;51;297;178;0;0;35;177;42
;18;120;21;160;6;0;188;43;100
;58;0;0;0;0;0;0;0;0
37;1;198;269;298;81;72;319;82;59
;13;220;82;15;195;144;236;2;204
;23;122;115;115;138;0;85;135;161
;59;0;0;0;0;0;0;0;0
38;0;167;185;151;123;190;164;91;121
;9;151;177;179;90;0;196;64;90
;10;157;289;64;73;0;209;198;26
;12;163;214;181;10;0;246;100;140
;60;0;0;0;0;0;0;0;0
39;1;173;258;102;12;153;236;4;115
;3;139;93;77;77;0;264;28;188
;7;149;346;192;49;165;37;109;168
;19;0;297;208;114;117;272;188;52
;61;0;0;0;0;0;0;0;0
40;0;157;175;32;67;216;304;10;4
;8;137;37;80;45;144;237;84;103
;17;149;312;197;96;2;135;12;30
;62;0;0;0;0;0;0;0;0
41;1;167;52;154;23;0;123;2;53
;3;173;314;47;215;0;77;75;189
;9;139;139;124;60;0;25;142;215
;18;151;288;207;167;183;272;128;24
;63;0;0;0;0;0;0;0;0
42;0;149;113;226;114;27;288;163;222
;4;157;14;65;91;0;83;10;170
;24;137;218;126;78;35;17;162;71
;64;0;0;0;0;0;0;0;0
43;1;151;113;228;206;52;210;1;22
;16;163;132;69;22;243;3;163;127
;18;173;114;176;134;0;53;99;49
;25;139;168;102;161;270;167;98;125
;65;0;0;0;0;0;0;0;0
44;0;139;80;234;84;18;79;4;191
;7;157;78;227;4;0;244;6;211
;9;163;163;259;9;0;293;142;187
;22;173;274;260;12;57;272;3;148
;66;0;0;0;0;0;0;0;0
45;1;149;135;101;184;168;82;181;177
;6;151;149;228;121;0;67;45;114
;10;167;15;126;29;144;235;153;93
;67;0;0;0;0;0;0;0;0
